app_name,app_account_id,entitlement_name,account_enabled,last_activity_date,identifier_kind,identifier_value
GitHub,gh-001,org:acme-demo:member,1,2026-06-29,username,luis-ferreira
GitHub,gh-002,org:acme-demo:member,1,2026-06-29,username,chris-adeyemi
GitHub,gh-003,org:acme-demo:member,1,2026-06-28,username,alex-petrov
GitHub,gh-004,org:acme-demo:member,1,2026-06-22,username,samira-haddad
GitHub,gh-005,org:acme-demo:member,1,2026-06-23,username,quinn-murphy
GitHub,gh-006,org:acme-demo:member,1,2026-06-18,username,casey-nwosu
GitHub,gh-007,org:acme-demo:member,1,2026-06-29,username,avery-kim
GitHub,gh-008,org:acme-demo:member,1,2026-06-14,username,pat-okoye
GitHub,gh-009,org:acme-demo:member,1,2026-06-11,username,elena-rossi
GitHub,gh-010,org:acme-demo:member,1,2026-06-10,username,jules-moreau
GitHub,gh-011,org:acme-demo:member,1,2026-06-09,username,sortega
GitHub,gh-012,org:acme-demo:member,1,2026-06-07,username,dana-okonkwo
